anum,name,true_class,strict_leading,n_d,n_id,order,degree,L_H,n_singular,full_fit,n_revisions,n_struct_rev,final_lambda,growth
A000027,naturals,POLY,1,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.0761904761904762,2.7098875177555026
A005843,even numbers,POLY,1,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.060941828254847646,3.2296650040557213
A005408,odd numbers,POLY,1,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.06970509383378017,3.2984656376834063
A000217,triangular,POLY,1,9.0,10.0,2.0,1.0,36.0,0.0,True,2,1,0.07392197125256673,4.480229081371014
A000290,squares,POLY,1,9.0,9.0,3.0,0.0,38.0,0.0,True,1,0,0.06972477064220184,5.040615774500301
A002378,oblong,POLY,1,9.0,10.0,2.0,1.0,36.0,0.0,True,2,1,0.06581352833638025,5.1321480315161025
A000578,cubes,POLY,1,10.0,10.0,2.0,1.0,46.0,0.0,True,1,0,0.05844980940279543,7.530885342911962
A000292,tetrahedral,POLY,1,10.0,10.0,2.0,1.0,38.0,0.0,True,1,0,0.05909797822706065,6.091394741255413
A000326,pentagonal,POLY,1,9.0,9.0,3.0,0.0,38.0,0.0,True,1,0,0.06608695652173913,5.386753177685078
A000384,hexagonal,POLY,1,9.0,9.0,3.0,0.0,38.0,0.0,True,1,0,0.06343906510851419,5.638441129753523
A002061,central polygonal,POLY,1,9.0,9.0,1.0,2.0,34.0,0.0,True,1,0,0.0633147113594041,4.987155619287027
A000583,fourth powers,POLY,1,13.0,13.0,5.0,0.0,90.0,0.0,True,1,0,0.08678881388621022,10.029157921581076
A005563,n(n+2),POLY,1,9.0,9.0,3.0,0.0,42.0,0.0,True,1,0,0.07460035523978685,5.210636914246923
A001105,2n^2,POLY,1,9.0,9.0,3.0,0.0,40.0,0.0,True,1,0,0.06568144499178982,5.696652180269123
A000330,square pyramidal,POLY,1,10.0,10.0,2.0,1.0,36.0,0.0,True,1,0,0.051798561151079135,6.6279772446938505
A000045,Fibonacci,CFIN,1,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.028985507246376812,7.240734264518597
A000032,Lucas,CFIN,1,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.028811524609843937,8.007031313029866
A000129,Pell,CFIN,1,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.01595358955765047,13.579167813343416
A001333,NSW / Pell-Lucas,CFIN,1,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.016985138004246284,13.921150981113268
A001045,Jacobsthal,CFIN,1,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.02042711234911792,10.436140682692576
A000073,Tribonacci,CFIN,1,9.0,9.0,3.0,0.0,30.0,0.0,True,1,0,0.03389830508474576,8.515298895983939
A000931,Padovan,CFIN,1,9.0,9.0,3.0,0.0,28.0,0.0,True,1,0,0.07466666666666667,3.249727603800996
A001608,Perrin,CFIN,1,9.0,9.0,3.0,0.0,32.0,0.0,True,1,0,0.06262230919765166,4.733848043128734
A000079,powers of 2,CFIN,1,6.0,5.0,1.0,0.0,16.0,0.0,True,0,0,0.013300083125519535,11.482870356683277
A000244,powers of 3,CFIN,1,6.0,5.0,1.0,0.0,18.0,0.0,True,0,0,0.009841443411700382,18.16066131722979
A000302,powers of 4,CFIN,1,6.0,5.0,1.0,0.0,18.0,0.0,True,0,0,0.007741935483870968,22.903198715997735
A000225,Mersenne 2^n-1,CFIN,1,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.019983347210657785,11.436928479239098
A002605,a=2a+2a,CFIN,1,7.0,7.0,2.0,0.0,22.0,0.0,True,1,0,0.014093529788597053,15.422363211506433
A006190,a=3a+a,CFIN,1,7.0,7.0,2.0,0.0,24.0,0.0,True,1,0,0.012868632707774798,18.504105370770027
A001519,odd-index Fibonacci,CFIN,1,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.017461383478844864,14.70489585496996
A000225b,3^n - 2^n,CFIN,1,7.0,7.0,2.0,0.0,26.0,0.0,True,1,0,0.01426220515633571,18.076493116401846
