alphabet,period,n_d,n_id,n_x,order,degree,L_H,n_rev,n_struct_rev,regime
2,2,7,7,5,2,0,20,1,0,identification-limited
2,3,9,9,7,3,0,28,1,0,identification-limited
2,4,11,11,8,4,0,34,1,0,identification-limited
2,5,13,13,10,5,0,38,1,0,identification-limited
2,6,9,9,7,3,0,28,1,0,identification-limited
2,7,17,17,14,7,0,52,1,0,identification-limited
3,2,7,7,5,2,0,22,1,0,identification-limited
3,3,9,9,7,3,0,28,1,0,identification-limited
3,4,11,11,8,4,0,34,1,0,identification-limited
3,5,13,13,10,5,0,40,1,0,identification-limited
3,6,15,15,11,6,0,44,1,0,identification-limited
3,7,17,17,14,7,0,52,1,0,identification-limited
10,2,7,7,5,2,0,22,1,0,identification-limited
10,3,9,9,6,3,0,32,1,0,identification-limited
10,4,11,11,7,4,0,40,1,0,identification-limited
10,5,13,13,9,5,0,48,1,0,identification-limited
10,6,15,15,10,6,0,56,1,0,identification-limited
10,7,17,17,12,7,0,68,1,0,identification-limited
1000,2,7,7,3,2,0,52,1,0,identification-limited
1000,3,9,9,4,3,0,64,1,0,identification-limited
1000,4,11,11,5,4,0,86,1,0,identification-limited
1000,5,13,13,6,5,0,108,1,0,identification-limited
1000,6,15,15,7,6,0,130,1,0,identification-limited
1000,7,17,17,9,7,0,152,1,0,identification-limited
