period,seed,struct_rev
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
5,39,0
6,0,1
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,1
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,1
6,31,0
6,32,0
6,33,1
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,39,0
7,0,2
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,2
7,9,2
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,2
7,31,0
7,32,0
7,33,0
7,34,0
7,35,0
7,36,0
7,37,0
7,38,0
7,39,0
8,0,2
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,2
8,9,3
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,1
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,1
8,25,2
8,26,0
8,27,0
8,28,0
8,29,0
8,30,2
8,31,0
8,32,0
8,33,0
8,34,0
8,35,0
8,36,0
8,37,0
8,38,0
8,39,0
9,0,2
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,2
9,9,2
9,10,2
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,2
9,24,0
9,25,2
9,26,0
9,27,0
9,28,0
9,29,0
9,30,2
9,31,0
9,32,2
9,33,0
9,34,2
9,35,0
9,36,0
9,37,0
9,38,0
9,39,0
10,0,2
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,2
10,9,3
10,10,3
10,11,1
10,12,2
10,13,0
10,14,0
10,15,0
10,16,1
10,17,0
10,18,0
10,19,0
10,20,1
10,21,0
10,22,0
10,23,2
10,24,0
10,25,2
10,26,0
10,27,0
10,28,0
10,29,0
10,30,2
10,31,0
10,32,0
10,33,0
10,34,1
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
11,0,2
11,1,0
11,2,0
11,3,0
11,4,2
11,5,0
11,6,0
11,7,0
11,8,2
11,9,2
11,10,2
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,0
11,23,2
11,24,0
11,25,2
11,26,0
11,27,0
11,28,0
11,29,0
11,30,2
11,31,0
11,32,0
11,33,0
11,34,0
11,35,0
11,36,2
11,37,0
11,38,0
11,39,0
12,0,2
12,1,0
12,2,0
12,3,1
12,4,2
12,5,0
12,6,0
12,7,0
12,8,2
12,9,3
12,10,2
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,1
12,19,2
12,20,0
12,21,0
12,22,1
12,23,2
12,24,1
12,25,2
12,26,0
12,27,0
12,28,1
12,29,0
12,30,2
12,31,0
12,32,0
12,33,1
12,34,1
12,35,0
12,36,0
12,37,0
12,38,0
12,39,0
