anum,name,true_class,final_lambda,discovery_frac,stabilisation_frac,provisional_span,n_revisions,n_structural_revisions,total_variation,post_disc_variation,max_abs_rho,min_rho,frac_zero_rho,found_structure
A000027,naturals,POLY,0.0761904761904762,0.20588235294117646,0.20588235294117646,0.0,1,0,1.3,0.0,1.3,-1.3,0.9642857142857143,1
A005843,even numbers,POLY,0.060941828254847646,0.20588235294117646,0.20588235294117646,0.0,1,0,1.7,0.0,1.7,-1.7,0.9642857142857143,1
A005408,odd numbers,POLY,0.06970509383378017,0.20588235294117646,0.20588235294117646,0.0,1,0,1.9,0.0,1.9,-1.9,0.9642857142857143,1
A000217,triangular,POLY,0.053388090349075976,0.20588235294117646,0.20588235294117646,0.0,1,0,1.25,0.0,1.25,-1.25,0.9642857142857143,1
A000290,squares,POLY,0.05871559633027523,0.2647058823529412,0.2647058823529412,0.0,1,0,4.785714285714286,0.0,2.7857142857142856,-2.7857142857142856,0.8928571428571429,1
A002378,oblong,POLY,0.04753199268738574,0.20588235294117646,0.20588235294117646,0.0,1,0,1.3571428571428572,0.0,1.3571428571428572,-1.3571428571428572,0.9642857142857143,1
A000578,cubes,POLY,0.05590851334180432,0.29411764705882354,0.3235294117647059,0.029411764705882353,2,1,6.45,0.1,3.35,-3.35,0.8214285714285714,1
A000292,tetrahedral,POLY,0.04354587869362364,0.20588235294117646,0.20588235294117646,0.0,1,0,1.3571428571428572,0.0,1.3571428571428572,-1.3571428571428572,0.9642857142857143,1
A000326,pentagonal,POLY,0.06608695652173913,0.2647058823529412,0.2647058823529412,0.0,1,0,4.642857142857142,0.0,2.642857142857143,-2.642857142857143,0.8928571428571429,1
A000384,hexagonal,POLY,0.06010016694490818,0.2647058823529412,0.2647058823529412,0.0,1,0,5.071428571428571,0.0,3.0714285714285716,-3.0714285714285716,0.8928571428571429,1
A002061,central polygonal,POLY,0.0633147113594041,0.2647058823529412,0.2647058823529412,0.0,1,0,5.083333333333334,0.0,3.0833333333333335,-3.0833333333333335,0.8928571428571429,1
A000583,fourth powers,POLY,0.05014464802314368,0.38235294117647056,0.38235294117647056,0.0,1,0,11.9,0.0,5.9,-5.9,0.75,1
A005563,n(n+2),POLY,0.07104795737122557,0.2647058823529412,0.2647058823529412,0.0,1,0,4.928571428571429,0.0,2.9285714285714284,-2.9285714285714284,0.8928571428571429,1
A001105,2n^2,POLY,0.052545155993431854,0.2647058823529412,0.2647058823529412,0.0,1,0,5.1875,0.0,3.1875,-3.1875,0.8928571428571429,1
A000330,square pyramidal,POLY,0.051798561151079135,0.2647058823529412,0.29411764705882354,0.029411764705882353,2,1,4.659722222222222,0.2222222222222222,2.4375,-2.4375,0.8571428571428571,1
A000045,Fibonacci,CFIN,0.028985507246376812,0.20588235294117646,0.20588235294117646,0.0,1,0,0.9,0.0,0.9,-0.9,0.9642857142857143,1
A000032,Lucas,CFIN,0.028811524609843937,0.20588235294117646,0.20588235294117646,0.0,1,0,1.4166666666666667,0.0,1.4166666666666667,-1.4166666666666667,0.9642857142857143,1
A000129,Pell,CFIN,0.01595358955765047,0.20588235294117646,0.20588235294117646,0.0,1,0,1.0625,0.0,1.0625,-1.0625,0.9642857142857143,1
A001333,NSW / Pell-Lucas,CFIN,0.016985138004246284,0.20588235294117646,0.20588235294117646,0.0,1,0,1.5625,0.0,1.5625,-1.5625,0.9642857142857143,1
A001045,Jacobsthal,CFIN,0.02042711234911792,0.20588235294117646,0.20588235294117646,0.0,1,0,1.0833333333333333,0.0,1.0833333333333333,-1.0833333333333333,0.9642857142857143,1
A000073,Tribonacci,CFIN,0.03389830508474576,0.2647058823529412,0.2647058823529412,0.0,1,0,3.5,0.0,1.5,-1.5,0.8928571428571429,1
A000931,Padovan,CFIN,0.07466666666666667,0.2647058823529412,0.2647058823529412,0.0,1,0,3.25,0.0,1.25,-1.25,0.8928571428571429,1
A001608,Perrin,CFIN,0.06262230919765166,0.2647058823529412,0.2647058823529412,0.0,1,0,4.125,0.0,2.125,-2.125,0.8928571428571429,1
A000079,powers of 2,CFIN,0.013300083125519535,0.17647058823529413,0.17647058823529413,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1
A000244,powers of 3,CFIN,0.009841443411700382,0.17647058823529413,0.17647058823529413,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1
A000302,powers of 4,CFIN,0.007741935483870968,0.17647058823529413,0.17647058823529413,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1
A000225,Mersenne 2^n-1,CFIN,0.019983347210657785,0.20588235294117646,0.20588235294117646,0.0,1,0,1.4375,0.0,1.4375,-1.4375,0.9642857142857143,1
A002605,a=2a+2a,CFIN,0.014093529788597053,0.20588235294117646,0.20588235294117646,0.0,1,0,1.3125,0.0,1.3125,-1.3125,0.9642857142857143,1
A006190,a=3a+a,CFIN,0.012868632707774798,0.20588235294117646,0.20588235294117646,0.0,1,0,1.35,0.0,1.35,-1.35,0.9642857142857143,1
A001519,odd-index Fibonacci,CFIN,0.017461383478844864,0.20588235294117646,0.20588235294117646,0.0,1,0,1.0625,0.0,1.0625,-1.0625,0.9642857142857143,1
A000225b,3^n - 2^n,CFIN,0.01426220515633571,0.20588235294117646,0.20588235294117646,0.0,1,0,1.4090909090909092,0.0,1.4090909090909092,-1.4090909090909092,0.9642857142857143,1
A000142,factorial,PREC,0.0068201193520886615,0.20588235294117646,0.20588235294117646,0.0,1,0,1.0454545454545454,0.0,1.0454545454545454,-1.0454545454545454,0.9642857142857143,1
A000108,Catalan,PREC,0.015045674368619023,0.20588235294117646,0.20588235294117646,0.0,1,0,0.8333333333333334,0.0,0.8333333333333334,-0.8333333333333334,0.9642857142857143,1
