anum,n_terms,max_digit_len,wall_s,cpu_s,full_fit,prefix_only,n_struct_rev,error
A003371,39,5,4.84192929999972,2.03125,False,False,0,
A004544,60,1,24.802015899999788,7.703125,False,False,0,
A005188,37,11,4.136398400000871,1.671875,False,True,1,
A005900,44,5,4.562350100000003,1.953125,True,False,0,
A005929,60,1,5.72654539999985,2.078125,False,True,1,
A006955,55,7,15.869305999999597,6.109375,False,False,0,
A007959,54,3,35.071290099999715,13.078125,False,True,1,
A008039,48,4,4.878108100000645,4.359375,False,False,0,
A008174,48,4,14.476624400000219,4.765625,False,False,0,
A010067,57,3,30.541348600000674,9.984375,False,False,0,
A011417,60,1,24.700055399999655,8.234375,False,False,0,
A014821,60,1,21.577383499999996,7.71875,False,True,1,
A015863,36,5,5.719293099999959,1.78125,False,False,0,
A016463,60,2,27.14429669999936,7.9375,False,False,0,
A018082,36,10,4.8545985999999175,1.59375,False,True,1,
A018804,60,3,43.763995299999806,9.890625,False,False,0,
A019346,57,3,20.87815690000025,7.34375,False,False,0,
A019707,60,1,24.396869299999707,7.3125,False,False,0,
A019743,60,1,26.657092999999804,7.875,False,False,0,
A020143,39,5,9.160548199999539,2.828125,False,False,0,
A020374,39,5,8.679623500000162,2.625,False,False,0,
A020665,60,2,18.968835799999397,8.109375,False,False,0,
A021178,60,1,28.10310269999991,8.0625,False,False,0,
A022172,36,11,2.6198450000001685,1.421875,False,False,0,
A022298,60,3,23.493429599999217,7.9375,False,False,0,
A022354,30,8,0.5321163999997225,0.25,True,False,0,
A026380,30,10,1.8033111000004283,0.71875,True,False,0,
A026788,30,11,1.4528385000003254,0.765625,False,False,0,
A027623,32,3,2.5251783000003343,0.921875,False,False,0,
A027694,51,4,5.424906600000213,2.203125,True,False,0,
A030787,60,2,32.74088380000012,8.125,False,False,0,
A031194,55,3,16.851942899999813,6.375,False,False,0,
A031218,60,2,30.716480500000216,9.859375,False,False,0,
A032243,43,7,11.33976100000018,2.65625,False,False,0,
A033238,35,4,4.486318799999935,1.546875,False,False,0,
A033622,32,11,4.859586700000364,1.25,True,False,0,
A034291,42,5,6.902873399999407,2.921875,False,False,0,
A035287,34,7,3.551252100000056,1.46875,True,False,0,
A035326,32,8,4.010230100000626,1.4375,False,False,0,
A035987,45,5,5.1353509999999005,3.46875,False,False,0,
A036062,30,9,2.4524837999997544,0.875,False,False,0,
A038956,45,3,8.925531699999738,3.234375,False,False,0,
A039681,57,3,23.361667899999702,7.140625,False,False,0,
A040180,40,4,7.191767899999832,2.421875,False,False,0,
A040781,60,2,28.942854999999327,9.4375,False,False,0,
A043171,43,4,8.918322100000296,3.34375,False,False,0,
A043675,60,2,86.86971660000017,27.859375,False,True,1,
A044407,39,4,17.957548100000167,4.75,False,True,1,
A044734,39,4,10.838944399999491,3.9375,False,True,1,
A044843,53,3,17.267161400000077,6.046875,False,False,0,
A045046,37,4,8.402181599999494,2.53125,False,False,0,
A045365,46,3,5.908854600000268,3.828125,False,False,0,
A047366,60,3,9.696254700000281,3.28125,True,False,0,
A047594,60,2,19.62026700000024,7.296875,False,False,0,
A049203,33,6,3.2790916000003563,1.359375,False,False,0,
A051531,42,5,14.055332199999611,9.828125,True,False,0,
A052241,31,10,2.51288250000016,1.078125,False,False,0,
A055651,60,4,20.498283099999753,7.53125,False,False,0,
A055703,41,5,10.221840400000474,2.703125,False,False,0,
A055946,60,3,18.973221399999602,7.3125,False,False,0,
A056728,32,7,2.4895147000006546,0.734375,False,False,0,
A057128,60,3,12.762525300000561,7.84375,False,False,0,
A058875,41,11,5.785160400000677,2.5625,False,False,0,
A059739,60,6,22.612574799999493,7.625,False,False,0,
A060133,50,4,11.064249400000335,4.5625,False,False,0,
A061087,37,6,13.8360732000001,4.96875,False,False,0,
A062506,60,2,16.135140899999897,8.21875,False,False,0,
A063616,51,3,12.329434199999923,5.25,False,False,0,
A064217,47,5,11.100685899999917,4.109375,False,False,0,
A064440,44,5,12.724656299999879,4.609375,False,False,0,
A065813,56,3,21.811927200000355,7.046875,False,False,0,
A066294,60,5,29.025673799999822,7.15625,False,False,0,
A066567,47,4,7.2993703000001915,4.265625,False,False,0,
A066839,60,2,18.60923989999992,6.578125,False,False,0,
A068356,45,4,10.04366470000059,3.9375,False,False,0,
A070304,60,1,23.2368632000007,7.40625,False,False,0,
A071804,60,1,45.20116490000055,10.0625,False,False,0,
A072106,60,2,20.74319790000027,7.046875,False,False,0,
A073705,38,12,5.870760099999643,1.84375,False,False,0,
A073824,60,1,26.956175299999813,8.09375,False,False,0,
A074236,55,3,18.215615300000536,7.671875,False,False,0,
A074871,60,1,10.337366499999916,6.640625,False,False,0,
A075221,30,8,2.1323050000000876,0.578125,False,False,0,
A075354,57,3,86.49808519999988,23.09375,False,True,1,
A077318,38,6,3.8022800999997344,2.078125,False,False,0,
A077624,43,7,5.27312129999973,3.078125,False,False,0,
A078029,60,6,1.9074203999998645,0.859375,True,False,0,
A078802,60,3,22.902923999999985,7.3125,False,False,0,
A078809,60,2,23.932831799999803,7.9375,False,False,0,
A079131,55,3,20.385409999999865,6.65625,False,False,0,
A079714,60,2,23.615589099999852,6.625,False,False,0,
A079952,60,2,29.538238000000092,9.25,False,False,0,
A080105,42,9,11.99429180000061,3.78125,False,False,0,
A080702,60,2,32.9370686000002,10.6875,False,False,0,
A080730,60,1,15.150217999999768,7.421875,False,False,0,
A080906,41,4,10.336234299999887,3.28125,False,False,0,
A081735,60,3,17.560235800000555,8.375,False,False,0,
A082568,60,2,23.745532799999637,8.40625,False,False,0,
A082839,60,1,24.125385699999242,7.484375,False,False,0,
A085264,49,4,12.613335299999562,4.3125,False,False,0,
A085998,60,1,29.242361300000084,9.609375,False,False,0,
A086112,60,2,8.342811499999698,3.625,True,False,0,
A086249,60,2,18.04827699999987,7.890625,False,True,1,
A086285,55,3,12.646094599999742,6.265625,False,False,0,
A087869,60,3,16.652951899999607,8.109375,False,False,0,
A088341,59,3,11.765100100000382,7.59375,False,False,0,
A088572,60,3,20.163548600000468,7.21875,False,False,0,
A088637,53,4,10.408544100000654,5.875,False,False,0,
A090815,60,4,23.113808799999788,8.46875,False,False,0,
A091512,60,3,18.270176800000627,7.25,False,False,0,
A091700,55,6,18.444742299999234,5.875,False,False,0,
A091769,51,6,14.854349899999761,4.640625,False,False,0,
