anum,n_terms,n_d,order,degree,n_id,L_H,n_singular,full_fit,prefix_only,n_revisions,n_struct_rev,final_lambda,error,name
A371843,39,9,3,0,9,36,0,True,False,1,0,0.030690537084398978,,a(n) = 5*Fibonacci(n) + (-1)^n.
A138822,31,,,,,,,False,False,0,0,1.0,,Concatenation of n-th prime and n-th Fibonacci number.
A259755,53,9,2,1,10,44,0,True,False,2,1,0.048834628190899,,"Numbers that are congruent to {4, 20} mod 24."
A142699,42,,,,,,,False,False,0,0,1.0,,Primes congruent to 55 mod 57.
A249738,60,,,,,,,False,False,0,0,1.0,,"a(n) = 0 if n is 1 or a prime, otherwise, when n = A020639(n) * A032742(n), a(n) = the largest k < A032742(n) such that either k = 1 or A020639(k) >= A020639(n), where A020639(n) and A032742(n) are the smallest prime and the largest proper divisor dividing n."
A333526,56,,,,,,,False,False,0,0,1.0,,Number of edges of the polytope representing the number n.
A148058,32,,,,,,,False,False,0,0,1.0,,"Number of walks within N^3 (the first octant of Z^3) starting at (0,0,0) and consisting of n steps taken from {(-1, -1, 0), (-1, -1, 1), (-1, 1, 0), (1, 0, -1), (1, 0, 0)}."
A397229,60,,,,,,,False,False,0,0,1.0,,"Decimal expansion of Sum_{k>=1} (-1)^(k+1) * AH(2*k)/k, where AH(k) = A058313(k)/A058312(k) is the k-th alternating harmonic (or skew-harmonic) number."
A066294,60,,,,,,,False,False,0,0,1.0,,a(n) = A000203(n)^2 - A001157(n) - 2n = sigma(n)^2 - sigma_2(n) - 2n.
A030787,60,,,,,,,False,False,0,0,1.0,,"The first list after the following procedure: starting with a list [4] and an empty list, repeatedly add the distinct values already in both lists in descending order to the second list and add the corresponding frequencies of those values to the first list."
A396907,55,,,,,,,False,False,0,0,1.0,,"Triangular array T(n, k) of coefficients of the ""Mish"" activation function that is used in machine learning. Mish(x) = x*tan(log(1+exp(x))) = x*Sum_{n>=0} x^n*Sum_{k=0..n}t^k*T(n, k)/(k!*2^k), where t = tan(log(2))."
A395955,38,,,,,,,False,False,0,0,1.0,,Numerator of the n-th moment of the probability distribution of distances from the center of a unit disk to a line passing through two points independently and uniformly selected at random in the disk.
A098495,60,,,,,,,False,False,0,0,1.0,,"Array T(r,c) read by antidiagonals: values of triangle A098493 interpreted as polynomials, r >= 0."
A248519,60,,,,,,,False,False,0,0,1.0,,"Number of partitions of n into distinct parts > 0 without 1 as digit, cf. A052383."
A197207,50,,,,,,,False,False,0,0,1.0,,"T(n,k)=Number of nXk 0..4 arrays with each element x equal to the number of its horizontal and vertical neighbors equal to 4,2,1,0,3 for x=0,1,2,3,4."
A382661,50,,,,,,,False,False,0,0,1.0,,The unitary Jordan totient function applied to the exponentially odd numbers (A268335).
A362826,60,6,,,,,,False,True,1,1,1.0,,"Array read by antidiagonals: T(n,k) is the number of k-tuples of permutations of [n] which commute, divided by n!, n >= 0, k >= 1."
A055703,41,,,,,,,False,False,0,0,1.0,,Numbers k such that k | sigma_9(k) - phi(k)^9.
A194121,58,,,,,,,False,False,0,0,1.0,,"Triangular array:  T(n,k)=C(n+2,k)+C(n+2,k+1)+C(n+2,k+2), 0<=k<=n."
A020374,39,,,,,,,False,False,0,0,1.0,,Numbers k such that the continued fraction for sqrt(k) has period 35.
A266954,45,,,,,,,False,False,0,0,1.0,,Primes of the form p = a^2 + b^2 where neither |a+b| nor |a-b| is prime.
A172373,55,,,,,,,False,False,0,0,1.0,,"Triangle T(n, k) = A010048(n, k)*A010048(n, k-1)/Fibonacci(n), read by rows."
A248342,60,,,,,,,False,False,0,0,1.0,,"Decimal expansion of product_{n>=1} (n/(n+1))^((-1)^t(n)), a probabilistic counting constant, where t(n) = A010060(n) is the Thue-Morse sequence."
A091769,51,,,,,,,False,False,0,0,1.0,,Poincar̩ series [or Poincare series] (or Molien series) for a certain six-fold wreath product P_6.
A044734,39,13,,,,,,False,True,2,1,1.0,,"Numbers n such that string 2,1 occurs in the base 10 representation of n but not of n+1."
A327861,60,,,,,,,False,False,0,0,1.0,,"Number of divisors d of n for which A003415(d)*d is equal to n, where A003415(x) gives the arithmetic derivative of x."
A224237,60,,,,,,,False,False,0,0,1.0,,Decimal expansion of speed of light in miles per second.
A170012,32,7,2,0,7,24,0,True,False,1,0,0.022408963585434174,,Number of reduced words of length n in Coxeter group on 3 generators S_i with relations (S_i)^2 = (S_i S_j)^36 = I.
A123503,60,,,,,,,False,False,0,0,1.0,,"An involution of nonnegative integers: signature permutation of a nonrecursive Catalan automorphism, row 253 of table A089840."
A256650,39,10,4,0,11,64,0,True,False,2,1,0.0579185520361991,,30-gonal pyramidal numbers: a(n) = n*(n+1)*(28*n-25)/6.
A059739,60,,,,,,,False,False,0,0,1.0,,"Triangle T(n,k), n >= 1, giving number of prime unoriented alternating links with n crossings and k components."
A082839,60,,,,,,,False,False,0,0,1.0,,"Decimal expansion of Kempner series Sum_{k >= 1, k has no digit 0 in base 10} 1/k."
A015863,36,,,,,,,False,False,0,0,1.0,,Numbers k such that sigma(k) = sigma(k+4).
A302753,51,,,,,,,False,False,0,0,1.0,,"Prime-additive numbers: numbers m with at least 2 distinct prime factors, that can be represented as m = Sum_{p|m} p^e_p, with e_p > 0."
A065813,56,,,,,,,False,False,0,0,1.0,,"Least m such that (p^(2*m+1)-1)/(p-1) is a prime, where p = prime(n)."
A116612,56,,,,,,,False,False,0,0,1.0,,"Values of n such that p(2n+1) mod 12 = 1, where p(j) denotes the j-th prime."
A021178,60,,,,,,,False,False,0,0,1.0,,Decimal expansion of 1/174.
A228623,60,,,,,,,False,False,0,0,1.0,,"Determinant of the n X n matrix with (i,j)-entry (i,j = 0,...,n-1) equal to 1 or 0 according as n + i - j and n - i + j are both prime or not."
A316845,60,,,,,,,False,False,0,0,1.0,,Column 3 of table A316841.
A008174,48,,,,,,,False,False,0,0,1.0,,Coordination sequence T2 for Zeolite Code MFS.
A381247,33,,,,,,,False,False,0,0,1.0,,Positive integers m such that  m * (m+1) contains at least 8 decimal digits that are in neither m nor m+1.
A318355,30,,,,,,,False,False,0,0,1.0,,"E.g.f. satisfies y'' + y' - x^3*y = 0 with y(0)=1, y'(0)=0."
A246316,60,,,,,,,False,False,0,0,1.0,,"Total number of ON cells at stage n of two-dimensional 5-neighbor outer totalistic cellular automaton defined by ""Rule 452""."
A011417,60,,,,,,,False,False,0,0,1.0,,Decimal expansion of 13th root of 19.
A043675,60,9,,,,,,False,True,2,1,1.0,,Numbers whose base-16 representation has exactly 2 runs.
