anum,n_terms,n_d,order,degree,n_id,L_H,n_revisions,n_struct_rev,final_lambda,name
A000001,30,,,,,,0,0,1.0,Number of groups of order n.
A000002,30,,,,,,0,0,1.0,Kolakoski sequence: a(n) is length of n-th run; a(1) = 1; sequence consists just of 1's and 2's.
A000003,30,,,,,,0,0,1.0,Number of classes of primitive positive definite binary quadratic forms of discriminant D = -4n; or equivalently the class number of the quadratic order of discriminant D = -4n.
A000004,30,6.0,1.0,0.0,5.0,12.0,0,0,0.17391304347826086,The zero sequence.
A000005,30,,,,,,0,0,1.0,"d(n) (also called tau(n) or sigma_0(n)), the number of divisors of n."
A000006,30,,,,,,0,0,1.0,Integer part of square root of n-th prime.
A000007,30,6.0,1.0,0.0,5.0,14.0,0,0,0.19718309859154928,The characteristic function of {0}: a(n) = 0^n.
A000008,30,,,,,,0,0,1.0,"Number of ways of making change for n cents using coins of 1, 2, 5, 10 cents."
A000009,30,,,,,,0,0,1.0,Expansion of Product_{m >= 1} (1 + x^m); number of partitions of n into distinct parts; number of partitions of n into odd parts.
A000010,30,,,,,,0,0,1.0,Euler totient function phi(n): count numbers <= n and prime to n.
A000011,30,7.0,,,,,2,1,1.0,Number of n-bead necklaces (turning over is allowed) where complements are equivalent.
A000012,30,6.0,1.0,0.0,5.0,16.0,0,0,0.12403100775193798,The simplest sequence of positive numbers: the all 1's sequence.
A000013,30,7.0,,,,,2,1,1.0,Definition (1): Number of n-bead binary necklaces with beads of 2 colors where the colors may be swapped but turning over is not allowed.
A000014,30,,,,,,0,0,1.0,Number of series-reduced trees with n nodes.
A000015,30,,,,,,0,0,1.0,Smallest prime power >= n.
A000016,30,,,,,,0,0,1.0,a(n) is the number of distinct (infinite) output sequences from binary n-stage shift register which feeds back the complement of the last stage.
A000018,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 16*y^2.
A000019,30,,,,,,0,0,1.0,Number of primitive permutation groups of degree n.
A000020,30,,,,,,0,0,1.0,Number of primitive polynomials of degree n over GF(2) (version 2).
A000021,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 12 y^2.
A000022,30,,,,,,0,0,1.0,Number of centered hydrocarbons with n atoms.
A000024,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 10 y^2.
A000025,30,,,,,,0,0,1.0,Coefficients of the 3rd-order mock theta function f(q).
A000026,30,7.0,,,,,2,1,1.0,Mosaic numbers or multiplicative projection of n: if n = Product (p_j^k_j) then a(n) = Product (p_j * k_j).
A000027,30,7.0,2.0,0.0,7.0,24.0,1,0,0.09056603773584905,"The positive integers. Also called the natural numbers, the whole numbers or the counting numbers, but these terms are ambiguous."
A000028,30,,,,,,0,0,1.0,"Let k = p_1^e_1 p_2^e_2 p_3^e_3 ... be the prime factorization of n. Sequence gives k such that the sum of the numbers of 1's in the binary expansions of e_1, e_2, e_3, ... is odd."
A000029,30,,,,,,0,0,1.0,"Number of necklaces with n beads of 2 colors, allowing turning over (these are also called bracelets)."
A000030,30,7.0,,,,,2,1,1.0,Initial digit of n.
A000031,30,,,,,,0,0,1.0,Number of n-bead necklaces with 2 colors when turning over is not allowed; also number of output sequences from a simple n-stage cycling shift register; also number of binary irreducible polynomials whose degree divides n.
A000032,30,7.0,2.0,0.0,7.0,24.0,1,0,0.036753445635528334,"Lucas numbers beginning at 2: L(n) = L(n-1) + L(n-2), L(0) = 2, L(1) = 1."
A000034,30,7.0,2.0,0.0,7.0,22.0,1,0,0.17054263565891473,"Period 2: repeat [1, 2]; a(n) = 1 + (n mod 2)."
A000035,30,7.0,2.0,0.0,7.0,20.0,1,0,0.20202020202020202,"Period 2: repeat [0, 1]; a(n) = n mod 2; parity of n."
