anum,n_terms,n_d,order,degree,n_id,L_H,n_singular,full_fit,prefix_only,n_revisions,n_struct_rev,final_lambda,error,name
A249738,30,,,,,,,False,False,0,0,1.0,,"a(n) = 0 if n is 1 or a prime, otherwise, when n = A020639(n) * A032742(n), a(n) = the largest k < A032742(n) such that either k = 1 or A020639(k) >= A020639(n), where A020639(n) and A032742(n) are the smallest prime and the largest proper divisor dividing n."
A397229,30,,,,,,,False,False,0,0,1.0,,"Decimal expansion of Sum_{k>=1} (-1)^(k+1) * AH(2*k)/k, where AH(k) = A058313(k)/A058312(k) is the k-th alternating harmonic (or skew-harmonic) number."
A371843,30,9.0,3.0,0.0,9.0,36.0,0.0,True,False,1,0,0.0502092050209205,,a(n) = 5*Fibonacci(n) + (-1)^n.
A333526,30,,,,,,,False,False,0,0,1.0,,Number of edges of the polytope representing the number n.
A030787,30,,,,,,,False,False,0,0,1.0,,"The first list after the following procedure: starting with a list [4] and an empty list, repeatedly add the distinct values already in both lists in descending order to the second list and add the corresponding frequencies of those values to the first list."
A066294,30,,,,,,,False,False,0,0,1.0,,a(n) = A000203(n)^2 - A001157(n) - 2n = sigma(n)^2 - sigma_2(n) - 2n.
A142699,30,,,,,,,False,False,0,0,1.0,,Primes congruent to 55 mod 57.
A259755,30,9.0,2.0,1.0,10.0,44.0,0.0,True,False,2,1,0.09462365591397849,,"Numbers that are congruent to {4, 20} mod 24."
A138822,30,,,,,,,False,False,0,0,1.0,,Concatenation of n-th prime and n-th Fibonacci number.
A098495,30,,,,,,,False,False,0,0,1.0,,"Array T(r,c) read by antidiagonals: values of triangle A098493 interpreted as polynomials, r >= 0."
A396907,30,,,,,,,False,False,0,0,1.0,,"Triangular array T(n, k) of coefficients of the ""Mish"" activation function that is used in machine learning. Mish(x) = x*tan(log(1+exp(x))) = x*Sum_{n>=0} x^n*Sum_{k=0..n}t^k*T(n, k)/(k!*2^k), where t = tan(log(2))."
A248519,30,,,,,,,False,False,0,0,1.0,,"Number of partitions of n into distinct parts > 0 without 1 as digit, cf. A052383."
A148058,30,,,,,,,False,False,0,0,1.0,,"Number of walks within N^3 (the first octant of Z^3) starting at (0,0,0) and consisting of n steps taken from {(-1, -1, 0), (-1, -1, 1), (-1, 1, 0), (1, 0, -1), (1, 0, 0)}."
A395955,30,,,,,,,False,False,0,0,1.0,,Numerator of the n-th moment of the probability distribution of distances from the center of a unit disk to a line passing through two points independently and uniformly selected at random in the disk.
A362826,30,6.0,,,,,,False,True,5,5,1.0,,"Array read by antidiagonals: T(n,k) is the number of k-tuples of permutations of [n] which commute, divided by n!, n >= 0, k >= 1."
A194121,30,,,,,,,False,False,0,0,1.0,,"Triangular array:  T(n,k)=C(n+2,k)+C(n+2,k+1)+C(n+2,k+2), 0<=k<=n."
A197207,30,,,,,,,False,False,0,0,1.0,,"T(n,k)=Number of nXk 0..4 arrays with each element x equal to the number of its horizontal and vertical neighbors equal to 4,2,1,0,3 for x=0,1,2,3,4."
A382661,30,,,,,,,False,False,0,0,1.0,,The unitary Jordan totient function applied to the exponentially odd numbers (A268335).
A043675,30,9.0,4.0,1.0,16.0,126.0,1.0,True,False,6,5,0.36950146627565983,,Numbers whose base-16 representation has exactly 2 runs.
A248342,30,,,,,,,False,False,0,0,1.0,,"Decimal expansion of product_{n>=1} (n/(n+1))^((-1)^t(n)), a probabilistic counting constant, where t(n) = A010060(n) is the Thue-Morse sequence."
