anum,n_terms,n_d,order,degree,n_id,L_H,n_revisions,n_struct_rev,final_lambda,name
A000001,34,,,,,,0,0,1.0,Number of groups of order n.
A000002,34,,,,,,0,0,1.0,Kolakoski sequence: a(n) is length of n-th run; a(1) = 1; sequence consists just of 1's and 2's.
A000003,34,,,,,,0,0,1.0,Number of classes of primitive positive definite binary quadratic forms of discriminant D = -4n; or equivalently the class number of the quadratic order of discriminant D = -4n.
A000004,34,6.0,1.0,0.0,5.0,12.0,0,0,0.1518987341772152,The zero sequence.
A000005,34,,,,,,0,0,1.0,"d(n) (also called tau(n) or sigma_0(n)), the number of divisors of n."
A000006,34,,,,,,0,0,1.0,Integer part of square root of n-th prime.
A000007,34,6.0,1.0,0.0,5.0,14.0,0,0,0.1728395061728395,The characteristic function of {0}: a(n) = 0^n.
A000008,34,,,,,,0,0,1.0,"Number of ways of making change for n cents using coins of 1, 2, 5, 10 cents."
A000009,34,,,,,,0,0,1.0,Expansion of Product_{m >= 1} (1 + x^m); number of partitions of n into distinct parts; number of partitions of n into odd parts.
A000010,34,,,,,,0,0,1.0,Euler totient function phi(n): count numbers <= n and prime to n.
A000011,34,7.0,,,,,2,1,1.0,Number of n-bead necklaces (turning over is allowed) where complements are equivalent.
A000012,34,6.0,1.0,0.0,5.0,16.0,0,0,0.10884353741496598,The simplest sequence of positive numbers: the all 1's sequence.
A000013,34,7.0,,,,,2,1,1.0,Definition (1): Number of n-bead binary necklaces with beads of 2 colors where the colors may be swapped but turning over is not allowed.
A000014,34,,,,,,0,0,1.0,Number of series-reduced trees with n nodes.
A000015,34,,,,,,0,0,1.0,Smallest prime power >= n.
A000016,34,,,,,,0,0,1.0,a(n) is the number of distinct (infinite) output sequences from binary n-stage shift register which feeds back the complement of the last stage.
A000018,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 16*y^2.
A000019,34,,,,,,0,0,1.0,Number of primitive permutation groups of degree n.
A000020,34,,,,,,0,0,1.0,Number of primitive polynomials of degree n over GF(2) (version 2).
A000021,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 12 y^2.
A000022,34,,,,,,0,0,1.0,Number of centered hydrocarbons with n atoms.
A000023,23,10.0,2.0,1.0,10.0,34.0,1,0,0.0274858528698464,Expansion of e.g.f. exp(-2*x)/(1-x).
A000024,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 10 y^2.
A000025,34,,,,,,0,0,1.0,Coefficients of the 3rd-order mock theta function f(q).
A000026,34,7.0,,,,,2,1,1.0,Mosaic numbers or multiplicative projection of n: if n = Product (p_j^k_j) then a(n) = Product (p_j * k_j).
