anum,name,true_class,n_d,n_id,n_x,pred,order,degree,L_H,growth,regime,n_revisions,n_struct_rev,final_lambda
A000027,naturals,POLY,7.0,7.0,4.0,7.0,2.0,0.0,24.0,0.15205661768947976,identification-limited,1,0,0.0761904761904762
A005843,even numbers,POLY,7.0,7.0,4.0,7.0,2.0,0.0,22.0,0.17904302474265704,identification-limited,1,0,0.060941828254847646
A005408,odd numbers,POLY,7.0,7.0,4.0,7.0,2.0,0.0,26.0,0.17966248402288731,identification-limited,1,0,0.06970509383378017
A000217,triangular,POLY,7.0,7.0,5.0,7.0,1.0,1.0,26.0,0.26873503270824206,identification-limited,1,0,0.053388090349075976
A000290,squares,POLY,9.0,9.0,5.0,9.0,1.0,2.0,32.0,0.2968069231271649,identification-limited,1,0,0.05871559633027523
A002378,oblong,POLY,7.0,7.0,5.0,7.0,1.0,1.0,26.0,0.29807136235943904,identification-limited,1,0,0.04753199268738574
A000578,cubes,POLY,10.0,11.0,6.0,11.0,1.0,3.0,44.0,0.4450959601786368,identification-limited,2,1,0.05590851334180432
A000292,tetrahedral,POLY,7.0,7.0,5.0,7.0,1.0,1.0,28.0,0.37284171363495644,identification-limited,1,0,0.04354587869362364
A000326,pentagonal,POLY,9.0,9.0,6.0,9.0,3.0,0.0,38.0,0.3135555079500755,identification-limited,1,0,0.06608695652173913
A000384,hexagonal,POLY,9.0,9.0,5.0,9.0,1.0,2.0,36.0,0.32553254340761095,identification-limited,1,0,0.06010016694490818
A002061,central polygonal,POLY,9.0,9.0,5.0,9.0,1.0,2.0,34.0,0.2955437315880099,identification-limited,1,0,0.0633147113594041
A000583,fourth powers,POLY,13.0,13.0,5.0,13.0,1.0,4.0,52.0,0.5934582032490914,identification-limited,1,0,0.05014464802314368
A005563,n(n+2),POLY,9.0,9.0,5.0,9.0,1.0,2.0,40.0,0.2992992102678673,identification-limited,1,0,0.07104795737122557
A001105,2n^2,POLY,9.0,9.0,5.0,9.0,1.0,2.0,32.0,0.3261797770489497,identification-limited,1,0,0.052545155993431854
A000330,square pyramidal,POLY,9.0,10.0,6.0,10.0,2.0,1.0,36.0,0.40038864496717497,identification-limited,2,1,0.051798561151079135
A000045,Fibonacci,CFIN,7.0,7.0,5.0,7.0,2.0,0.0,22.0,0.6396770565004372,identification-limited,1,0,0.028985507246376812
A000032,Lucas,CFIN,7.0,7.0,4.0,7.0,2.0,0.0,24.0,0.6738230445859115,identification-limited,1,0,0.028811524609843937
A000129,Pell,CFIN,7.0,7.0,5.0,7.0,2.0,0.0,22.0,1.1900370295412088,identification-limited,1,0,0.01595358955765047
A001333,NSW / Pell-Lucas,CFIN,7.0,7.0,4.0,7.0,2.0,0.0,24.0,1.2047429118941337,identification-limited,1,0,0.016985138004246284
A001045,Jacobsthal,CFIN,7.0,7.0,5.0,7.0,2.0,0.0,22.0,0.9239716911898385,identification-limited,1,0,0.02042711234911792
A000073,Tribonacci,CFIN,9.0,9.0,7.0,9.0,3.0,0.0,30.0,0.78118228824493,identification-limited,1,0,0.03389830508474576
A000931,Padovan,CFIN,9.0,9.0,7.0,9.0,3.0,0.0,28.0,0.32032424088674993,identification-limited,1,0,0.07466666666666667
A001608,Perrin,CFIN,9.0,9.0,6.0,9.0,3.0,0.0,32.0,0.3937612558619537,identification-limited,1,0,0.06262230919765166
A000079,powers of 2,CFIN,6.0,5.0,3.0,5.0,1.0,0.0,16.0,0.9705882353039971,identification-limited,0,0,0.013300083125519535
A000244,powers of 3,CFIN,6.0,5.0,3.0,5.0,1.0,0.0,18.0,1.5383459565822988,identification-limited,0,0,0.009841443411700382
A000302,powers of 4,CFIN,6.0,5.0,3.0,5.0,1.0,0.0,18.0,1.9411764705882353,identification-limited,0,0,0.007741935483870968
A000225,Mersenne 2^n-1,CFIN,7.0,7.0,4.0,7.0,2.0,0.0,24.0,0.9705882352990574,identification-limited,1,0,0.019983347210657785
A002605,a=2a+2a,CFIN,7.0,7.0,5.0,7.0,2.0,0.0,22.0,1.354617679245995,identification-limited,1,0,0.014093529788597053
A006190,a=3a+a,CFIN,7.0,7.0,4.0,7.0,2.0,0.0,24.0,1.6185642972140908,identification-limited,1,0,0.012868632707774798
A001519,odd-index Fibonacci,CFIN,7.0,7.0,5.0,7.0,2.0,0.0,26.0,1.2930811864278415,identification-limited,1,0,0.017461383478844864
A000225b,3^n - 2^n,CFIN,7.0,7.0,4.0,7.0,2.0,0.0,26.0,1.5383458910154353,identification-limited,1,0,0.01426220515633571
A000142,factorial,PREC,7.0,7.0,5.0,7.0,1.0,1.0,24.0,3.609048757991728,identification-limited,1,0,0.0068201193520886615
A000108,Catalan,PREC,7.0,7.0,5.0,7.0,1.0,1.0,28.0,1.692915514394797,identification-limited,1,0,0.015045674368619023
A000984,central binomial,PREC,7.0,7.0,4.0,7.0,1.0,1.0,28.0,1.8425467744315718,identification-limited,1,0,0.013263855992420654
A000166,derangements,PREC,10.0,10.0,6.0,10.0,2.0,1.0,34.0,3.5666165509067587,identification-limited,1,0,0.009903874162540053
A001006,Motzkin,PREC,10.0,10.0,7.0,10.0,2.0,1.0,46.0,1.3289751214353756,identification-limited,1,0,0.031018206338503034
A005043,Riordan,PREC,10.0,10.0,7.0,10.0,2.0,1.0,42.0,1.2715325914687563,identification-limited,1,0,0.03076923076923077
A000085,involutions,PREC,10.0,10.0,6.0,10.0,2.0,1.0,34.0,1.9682959032472507,identification-limited,1,0,0.016957605985037406
A001147,double factorial !!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,24.0,4.4810072971291826,identification-limited,1,0,0.005375139977603583
A000255,permutations A000255,PREC,10.0,10.0,5.0,10.0,2.0,1.0,36.0,3.7174778161110225,identification-limited,1,0,0.00974817221770918
A002720,A002720,PREC,13.0,13.0,5.0,13.0,2.0,2.0,46.0,3.9890913058488167,identification-limited,1,0,0.011372064276885044
A000165,2^n n!,PREC,7.0,7.0,4.0,7.0,1.0,1.0,24.0,4.579636993285845,identification-limited,1,0,0.005173528777753826
