anum,n_terms,found,class,order,degree,L_H,n_singular,error
A000011,40,False,genuine_spurious,,,,,
A000013,39,False,undetermined,,,,,
A000026,72,False,genuine_spurious,,,,,
A000030,133,False,genuine_spurious,,,,,
A000044,49,False,genuine_spurious,,,,,
A000134,60,False,genuine_spurious,,,,,
A000164,105,False,genuine_spurious,,,,,
A000220,37,False,undetermined,,,,,
A000249,30,False,undetermined,,,,,
A000378,72,False,genuine_spurious,,,,,
A000393,31,False,undetermined,,,,,
A000398,60,False,genuine_spurious,,,,,
A000418,32,False,undetermined,,,,,
A000429,32,False,undetermined,,,,,
A000433,58,False,genuine_spurious,,,,,
A000480,80,False,genuine_spurious,,,,,
A000493,84,False,genuine_spurious,,,,,
A000621,40,False,genuine_spurious,,,,,
A000623,32,False,undetermined,,,,,
A000626,36,False,undetermined,,,,,
A000805,32,False,undetermined,,,,,
A000855,82,False,genuine_spurious,,,,,
A000926,65,False,genuine_spurious,,,,,
A000927,38,False,undetermined,,,,,
A000999,87,False,genuine_spurious,,,,,
A001009,39,False,undetermined,,,,,
A001073,106,False,genuine_spurious,,,,,
A001102,48,False,genuine_spurious,,,,,
A001103,46,False,genuine_spurious,,,,,
A001104,39,False,undetermined,,,,,
A001129,36,False,undetermined,,,,,
A001156,68,False,genuine_spurious,,,,,
A001307,50,False,genuine_spurious,,,,,
A001310,59,False,genuine_spurious,,,,,
A001319,73,False,genuine_spurious,,,,,
A001343,85,False,genuine_spurious,,,,,
A001362,60,False,genuine_spurious,,,,,
A001419,30,False,undetermined,,,,,
A001422,31,False,undetermined,,,,,
A001476,69,False,genuine_spurious,,,,,
A001584,60,False,genuine_spurious,,,,,
A001617,102,False,genuine_spurious,,,,,
A001676,63,False,genuine_spurious,,,,,
A001745,66,False,genuine_spurious,,,,,
A001899,87,False,genuine_spurious,,,,,
A001951,72,False,genuine_spurious,,,,,
A001952,58,False,genuine_spurious,,,,,
A001987,42,False,genuine_spurious,,,,,
A001991,35,False,undetermined,,,,,
A002015,60,False,genuine_spurious,,,,,
A002113,61,False,genuine_spurious,,,,,
A002124,59,False,genuine_spurious,,,,,
A002373,98,False,genuine_spurious,,,,,
A002374,72,False,genuine_spurious,,,,,
A002376,105,False,genuine_spurious,,,,,
A002473,65,False,genuine_spurious,,,,,
A002569,54,False,genuine_spurious,,,,,
A002574,40,False,genuine_spurious,,,,,
A002796,62,False,genuine_spurious,,,,,
A002808,64,False,genuine_spurious,,,,,
A002892,41,False,genuine_spurious,,,,,
A002924,41,False,genuine_spurious,,,,,
A002962,32,False,undetermined,,,,,
A002998,46,False,genuine_spurious,,,,,
A003004,70,False,genuine_spurious,,,,,
A003005,69,False,genuine_spurious,,,,,
A003045,62,False,genuine_spurious,,,,,
A003073,49,False,genuine_spurious,,,,,
A003074,93,False,genuine_spurious,,,,,
A003108,87,False,genuine_spurious,,,,,
A003132,71,False,genuine_spurious,,,,,
A003143,42,False,genuine_spurious,,,,,
A003151,60,False,genuine_spurious,,,,,
A003171,59,False,genuine_spurious,,,,,
A003196,41,False,genuine_spurious,,,,,
A003252,59,False,genuine_spurious,,,,,
A003351,49,False,genuine_spurious,,,,,
A003352,40,False,genuine_spurious,,,,,
A003353,51,False,genuine_spurious,,,,,
A003354,51,False,genuine_spurious,,,,,
A003355,52,False,genuine_spurious,,,,,
A003356,52,False,genuine_spurious,,,,,
A003357,53,False,genuine_spurious,,,,,
A003362,47,False,genuine_spurious,,,,,
A003363,47,False,genuine_spurious,,,,,
A003364,48,False,genuine_spurious,,,,,
A003365,48,False,genuine_spurious,,,,,
A003368,48,False,genuine_spurious,,,,,
A003373,41,False,genuine_spurious,,,,,
A003374,44,False,genuine_spurious,,,,,
A003375,45,False,genuine_spurious,,,,,
A003384,40,False,genuine_spurious,,,,,
A003385,40,False,genuine_spurious,,,,,
A003395,39,False,undetermined,,,,,
A003396,40,False,genuine_spurious,,,,,
A003428,30,False,undetermined,,,,,
A003587,67,False,genuine_spurious,,,,,
A003589,60,False,genuine_spurious,,,,,
A003619,50,True,truncation_artifact,5.0,2.0,324.0,1.0,
A003630,55,False,genuine_spurious,,,,,
A003636,102,False,genuine_spurious,,,,,
A003638,75,False,genuine_spurious,,,,,
A003639,104,False,genuine_spurious,,,,,
A003648,104,False,genuine_spurious,,,,,
A003650,105,False,genuine_spurious,,,,,
A003652,105,False,genuine_spurious,,,,,
A003726,60,False,genuine_spurious,,,,,
A003796,69,False,genuine_spurious,,,,,
A003893,105,False,genuine_spurious,,,,,
A003896,30,False,undetermined,,,,,
A003964,70,False,genuine_spurious,,,,,
A004014,58,False,genuine_spurious,,,,,
A004052,44,False,genuine_spurious,,,,,
A004084,54,False,genuine_spurious,,,,,
A004086,75,False,genuine_spurious,,,,,
A004090,68,False,genuine_spurious,,,,,
A004091,48,False,genuine_spurious,,,,,
A004151,120,False,genuine_spurious,,,,,
A004162,77,False,genuine_spurious,,,,,
A004170,36,False,undetermined,,,,,
A004182,73,False,genuine_spurious,,,,,
A004183,72,False,genuine_spurious,,,,,
A004184,72,False,genuine_spurious,,,,,
A004185,75,False,genuine_spurious,,,,,
A004186,73,False,genuine_spurious,,,,,
A004195,35,False,undetermined,,,,,
A004215,55,False,genuine_spurious,,,,,
A004426,108,False,genuine_spurious,,,,,
A004427,108,False,genuine_spurious,,,,,
A004428,108,False,genuine_spurious,,,,,
A004429,108,False,genuine_spurious,,,,,
A004430,108,False,genuine_spurious,,,,,
A004437,56,False,genuine_spurious,,,,,
A004440,89,False,genuine_spurious,,,,,
A004448,83,False,genuine_spurious,,,,,
A004449,67,False,genuine_spurious,,,,,
A004452,67,False,genuine_spurious,,,,,
A004461,67,False,genuine_spurious,,,,,
A004464,67,False,genuine_spurious,,,,,
A004465,67,False,genuine_spurious,,,,,
A004499,68,False,genuine_spurious,,,,,
A004500,68,False,genuine_spurious,,,,,
A004514,73,False,genuine_spurious,,,,,
A004515,56,False,genuine_spurious,,,,,
A004516,68,False,genuine_spurious,,,,,
A004530,122,False,genuine_spurious,,,,,
A004611,55,False,genuine_spurious,,,,,
A004692,39,False,undetermined,,,,,
A004699,43,False,genuine_spurious,,,,,
